日付,借方勘定,借方金額,貸方勘定,貸方金額,備考
2016/06/16,地代家賃,"50,000",現金,"50,000",事務所家賃  
2016/06/16,消耗品費,"1,479",クレジットカード,"1,479",事務用品  
2016/06/16,旅費交通費,"2,310",現金,"2,310",バス代  
2016/06/16,金継仕事材料代・教室運営消耗品費,"3,823",現金,"3,823",その他教室運営のための道具や材料  
2016/06/16,接待交際費,"1,380",現金,"1,380",贈答品・謝礼・お中元・お歳暮  
2016/06/16,旅費交通費,"920",クレジットカード,"920",タクシー代  
2016/06/16,接待交際費,"2,916",クレジットカード,"2,916",土産代  
2016/06/17,金継仕事材料代・教室運営消耗品費,"3,084",普通預金(振込など),"3,084",その他教室運営のための道具や材料  
2016/06/17,金継仕事材料代・教室運営消耗品費,"4,887",普通預金(振込など),"4,887",金・銀・スズ粉、箔  
2016/06/17,支払手数料,"216",普通預金(振込など),"216",振込手数料  
2016/06/17,荷造運賃,"864",現金,"864",
2016/06/18,旅費交通費,"8,900",suica,"8,900",バス代  
2016/06/19,金継仕事材料代・教室運営消耗品費,"267",現金,"267",その他教室運営のための道具や材料  
2016/06/19,現金,"18,900",エフスタイル教室,"18,900",
2016/06/20,水道光熱費,"1,180",クレジットカード,"1,180",電気料金  
2016/06/20,旅費交通費,"900",現金,"900",
2016/06/20,現金,"21,600",エフスタイル教室,"21,600",
2016/06/20,旅費交通費,"8,100",suica,"8,100",バス代  
2016/06/21,荷造運賃,"864",現金,"864",
2016/06/23,消耗品費,"431",現金,"431",事務用品  
2016/06/23,荷造運賃,"600",現金,"600",発送料  
2016/06/24,雑費,"5,050",現金,"5,050",弁当代など
2016/06/24,通信費,"5,714",クレジットカード,"5,714",インターネット料金  
2016/06/24,美術館・お寺観覧代・器など(取材・研究費),"5,000",現金,"5,000",ギターレッスン受講料  
2016/06/25,イベント消耗費,"4,000",現金,"4,000",会食  
2016/06/25,イベント消耗費,"3,000",現金,"3,000",
2016/06/26,旅費交通費,"1,400",クレジットカード,"1,400",タクシー代  
2016/06/26,雑費,"3,890",現金,"3,890",来客用弁当などの食費  
2016/06/26,旅費交通費,"1,560",クレジットカード,"1,560",タクシー代  
2016/06/27,旅費交通費,"1,400",クレジットカード,"1,400",タクシー代  
2016/06/27,現金,"18,700",好日居教室,"18,700",
2016/06/27,普通預金,"28,000",自宅金継仕事,"28,000",
2016/06/27,消耗品費,"1,500",現金,"1,500",来客用お茶、お菓子  
2016/06/27,雑費,"5,000",現金,"5,000",
2016/06/28,雑費,"4,800",現金,"4,800",弁当代
2016/06/28,旅費交通費,"1,560",クレジットカード,"1,560",タクシー代  
2016/06/28,現金,"25,500",好日居教室,"25,500",
2016/06/29,雑費,"5,000",現金,"5,000",弁当代
2016/06/29,現金,"17,000",好日居教室,"17,000",
2016/06/30,通信費,"7,194",クレジットカード,"7,194",電話代  
2016/06/30,金継仕事材料代・教室運営消耗品費,"35,000",普通預金(振込など),"35,000",ギター教室運営関係  
2016/06/30,金継仕事材料代・教室運営消耗品費,"162",現金,"162",その他教室運営のための道具や材料  
2016/06/30,金継仕事材料代・教室運営消耗品費,"108",現金,"108",その他教室運営のための道具や材料  
2016/06/30,旅費交通費,"1,848",現金,"1,848",バス代  
2016/07/02,接待交際費,"630",現金,"630",土産代  
2016/07/03,荷造運賃,"1,188",現金,"1,188",発送料  
2016/07/04,現金,"3,000",自宅金継仕事,"3,000",
2016/07/04,金継仕事材料代・教室運営消耗品費,"30,240",クレジットカード,"30,240",その他自宅仕事のための道具や材料代  
2016/07/04,金継仕事材料代・教室運営消耗品費,"390",現金,"390",その他金継材料  
2016/07/05,英会話関係(研修費),"60,000",現金,"60,000",
2016/07/06,水道光熱費,"806",クレジットカード,"806",ガス料金  
2016/07/06,金継仕事材料代・教室運営消耗品費,"4,968",クレジットカード,"4,968",その他自宅仕事のための道具や材料代  
2016/07/06,漆教室代(研究費),"15,000",現金,"15,000",
2016/07/06,金継仕事材料代・教室運営消耗品費,"972",現金,"972",漆  
2016/07/07,荷造運賃,"1,512",現金,"1,512",
2016/07/08,接待交際費,"3,800",現金,"3,800",会食  
2016/07/08,現金,"10,000",その他個人宅訪問金継,"10,000",西田信子アトリエ  
2016/07/08,旅費交通費,"1,180",クレジットカード,"1,180",タクシー代  
2016/07/08,美術館・お寺観覧代・器など(取材・研究費),"5,660",クレジットカード,"5,660",食器など(研究費)  
2016/07/08,旅費交通費,"13,600",クレジットカード,"13,600",新幹線代  
2016/07/08,旅費交通費,"1,000",現金,"1,000",電車代  
2016/07/09,接待交際費,"850",現金,"850",打ち合わせ  
2016/07/09,現金,"26,000",その他個人宅訪問金継,"26,000",徳竹さんち  
2016/07/09,消耗品費,"1,728",現金,"1,728",
2016/07/09,現金,"12,000",その他個人宅訪問金継,"12,000",大井さんち  
2016/07/10,金継仕事材料代・教室運営消耗品費,"307",クレジットカード,"307",その他教室運営のための道具や材料  
2016/07/10,旅費交通費,"5,000",現金,"5,000",宿泊代  
2016/07/10,現金,"83,500",壺中教室,"83,500",
2016/07/11,旅費交通費,"1,300",普通預金(引き落とし),"1,300",電車代  
2016/07/11,現金,"20,000",その他個人宅訪問金継,"20,000",高堂さんち  
2016/07/11,支払手数料,"108",普通預金(引き落とし),"108",
2016/07/11,旅費交通費,"13,910",クレジットカード,"13,910",新幹線代  
2016/07/12,荷造運賃,"1,512",現金,"1,512",発送料  
2016/07/13,接待交際費,"14,580",クレジットカード,"14,580",贈答品・謝礼・お中元・お歳暮  
2016/07/14,接待交際費,"2,500",現金,"2,500",会食  
2016/07/15,接待交際費,"972",クレジットカード,"972",贈答品・謝礼・お中元・お歳暮  
2016/07/16,接待交際費,"2,667",クレジットカード,"2,667",贈答品・謝礼・お中元・お歳暮  
2016/07/16,接待交際費,"2,268",クレジットカード,"2,268",土産代  
2016/07/17,荷造運賃,"756",現金,"756",発送料  
2016/07/19,接待交際費,"3,099",クレジットカード,"3,099",贈答品・謝礼・お中元・お歳暮  
2016/07/19,金継仕事材料代・教室運営消耗品費,"194",現金,"194",その他自宅仕事のための道具や材料代  
2016/07/21,水道光熱費,"2,235",クレジットカード,"2,235",電気料金  
2016/07/22,金継仕事材料代・教室運営消耗品費,"3,966",クレジットカード,"3,966",その他自宅仕事のための道具や材料代  
2016/07/23,旅費交通費,"1,000",クレジットカード,"1,000",タクシー代  
2016/07/24,通信費,"5,735",クレジットカード,"5,735",インターネット料金  
2016/07/25,現金,"17,000",好日居教室,"17,000",
2016/07/25,金継仕事材料代・教室運営消耗品費,"1,725",現金,"1,725",エターナルなどの薬品  
2016/07/25,旅費交通費,"1,650",クレジットカード,"1,650",タクシー代  
2016/07/26,地代家賃,"50,000",普通預金(振込など),"50,000",
2016/07/26,現金,"20,400",好日居教室,"20,400",
2016/07/27,旅費交通費,"1,570",クレジットカード,"1,570",タクシー代  
2016/07/27,現金,"18,700",好日居教室,"18,700",
2016/07/28,金継仕事材料代・教室運営消耗品費,"2,536",クレジットカード,"2,536",その他教室運営のための道具や材料  
2016/07/29,現金,"6,500",自宅金継仕事,"6,500",
2016/07/31,水道光熱費,"1,598",クレジットカード,"1,598",水道料金  
2016/07/31,通信費,"7,014",クレジットカード,"7,014",電話代  
2016/08/01,接待交際費,"1,000",現金,"1,000",打ち合わせ  
2016/08/01,旅費交通費,"2,673",現金,"2,673",バス代  
2016/08/01,現金,"4,000",自宅金継仕事,"4,000",
2016/08/05,水道光熱費,"491",クレジットカード,"491",ガス料金  
2016/08/05,旅費交通費,"13,069",クレジットカード,"13,069",宿泊代  
2016/08/05,金継仕事材料代・教室運営消耗品費,"918",現金,"918",その他自宅仕事のための道具や材料代  
2016/08/06,美術館・お寺観覧代・器など(取材・研究費),"6,324",クレジットカード,"6,324",ギター教室取材費  
2016/08/08,旅費交通費,"3,400",クレジットカード,"3,400",タクシー代  
2016/08/10,旅費交通費,"1,790",普通預金(引き落とし),"1,790",電車代  
2016/08/10,消耗品費,"3,610",クレジットカード,"3,610",事務用品  
2016/08/10,支払手数料,"108",普通預金(引き落とし),"108",通知書発行料  
2016/08/12,旅費交通費,"8,900",クレジットカード,"8,900",バス代  
2016/08/12,旅費交通費,"8,100",クレジットカード,"8,100",バス代  
2016/08/16,接待交際費,"5,521",クレジットカード,"5,521",土産代  
2016/08/17,旅費交通費,"3,300",クレジットカード,"3,300",タクシー代  
2016/08/18,接待交際費,"734",クレジットカード,"734",手土産代
2016/08/18,接待交際費,"28,800",普通預金(引き落とし),"28,800",贈答品・謝礼・お中元・お歳暮  
2016/08/19,荷造運賃,"1,088",現金,"1,088",発送料  
2016/08/19,接待交際費,"734",クレジットカード,"734",贈答品・謝礼・お中元・お歳暮  
2016/08/19,接待交際費,"32,832",クレジットカード,"32,832",贈答品・謝礼・お中元・お歳暮  
2016/08/19,荷造運賃,"3,150",現金,"3,150",発送料  
2016/08/19,接待交際費,"4,830",現金,"4,830",打ち合わせ  
2016/08/20,新聞図書費 ,"720",クレジットカード,"720",
2016/08/23,消耗品費,"1,620",クレジットカード,"1,620",事務用品  
2016/08/23,現金,"5,000",その他個人宅訪問金継,"5,000",椹木さんち  
2016/08/23,接待交際費,"6,440",クレジットカード,"6,440",会食  
2016/08/23,水道光熱費,"1,804",クレジットカード,"1,804",電気料金  
2016/08/24,旅費交通費,"1,518",現金,"1,518",バス代  
2016/08/24,通信費,"5,686",クレジットカード,"5,686",インターネット料金  
2016/08/24,雑費,"280",現金,"280",場所代
2016/08/25,美術館・お寺観覧代・器など(取材・研究費),"12,924",クレジットカード,"12,924",ギター教室取材費  
2016/08/25,旅費交通費,"4,900",クレジットカード,"4,900",宿泊代  
2016/08/25,旅費交通費,"6,000",クレジットカード,"6,000",新幹線代  
2016/08/26,旅費交通費,"5,790",クレジットカード,"5,790",新幹線代  
2016/08/29,地代家賃,"50,000",普通預金(振込など),"50,000",事務所家賃  
2016/08/30,金継仕事材料代・教室運営消耗品費,"2,149",クレジットカード,"2,149",その他教室運営のための道具や材料  
2016/08/30,接待交際費,"700",現金,"700",打ち合わせ  
2016/08/30,現金,"10,000",自宅金継仕事,"10,000",
2016/08/31,通信費,"6,996",クレジットカード,"6,996",iPhone
2016/08/31,接待交際費,"1,160",現金,"1,160",打ち合わせ  
2016/08/31,接待交際費,"1,980",現金,"1,980",打ち合わせ  
2016/09/02,荷造運賃,"1,412",現金,"1,412",発送料  
2016/09/03,現金,"26,000",その他個人宅訪問金継,"26,000",徳竹さんち  
2016/09/03,旅費交通費,"13,910",クレジットカード,"13,910",新幹線代  
2016/09/03,旅費交通費,"15,000",現金,"15,000",宿泊代  
2016/09/04,現金,"49,000",壺中教室,"49,000",
2016/09/05,現金,"10,000",その他個人宅訪問金継,"10,000",西田信子アトリエ  
2016/09/05,現金,"33,000",壺中教室,"33,000",
2016/09/05,旅費交通費,"1,000",現金,"1,000",電車代  
2016/09/06,旅費交通費,"3,500",現金,"3,500",宿泊代  
2016/09/06,接待交際費,"7,400",現金,"7,400",会食  
2016/09/06,現金,"20,000",その他個人宅訪問金継,"20,000",高堂さんち  
2016/09/07,旅費交通費,"1,900",現金,"1,900",タクシー代  
2016/09/07,接待交際費,"560",現金,"560",打ち合わせ  
2016/09/07,旅費交通費,"13,710",クレジットカード,"13,710",新幹線代  
2016/09/07,漆教室代(研究費),"17,000",現金,"17,000",
2016/09/08,荷造運賃,"1,512",現金,"1,512",発送料  
2016/09/09,接待交際費,"945",クレジットカード,"945",打ち合わせ  
2016/09/09,接待交際費,"1,700",現金,"1,700",打ち合わせ  
2016/09/10,水道光熱費,"368",クレジットカード,"368",ガス料金  
2016/09/11,接待交際費,"3,500",現金,"3,500",会食  
2016/09/11,雑費,"496",現金,"496",場所代  
2016/09/11,現金,"22,600",エフスタイル教室,"22,600",
2016/09/12,支払手数料,"108",普通預金(引き落とし),"108",通知書発行料  
2016/09/12,旅費交通費,"2,340",普通預金(引き落とし),"2,340",電車代  
2016/09/12,接待交際費,"3,000",現金,"3,000",会食  
2016/09/12,接待交際費,"3,600",現金,"3,600",贈答品・謝礼・お中元・お歳暮  
2016/09/12,旅費交通費,"900",現金,"900",入浴代  
2016/09/12,現金,"30,700",エフスタイル教室,"30,700",
2016/09/13,支払手数料,"151",普通預金(振込など),"151",振込手数料  
2016/09/13,雑費,"7,884",普通預金(振込など),"7,884",
2016/09/13,消耗品費,"504",クレジットカード,"504",事務用品  
2016/09/14,金継仕事材料代・教室運営消耗品費,"1,836",現金,"1,836",漆  
2016/09/14,金継仕事材料代・教室運営消耗品費,"1,512",現金,"1,512",塗筆  
2016/09/14,接待交際費,"3,400",普通預金(振込など),"3,400",贈答品・謝礼・お中元・お歳暮  
2016/09/14,雑費,"2,779",現金,"2,779",イベント消耗品費
2016/09/15,旅費交通費,"2,310",現金,"2,310",バス代  
2016/09/15,接待交際費,"859",クレジットカード,"859",打ち合わせ  
2016/09/15,接待交際費,"5,000",現金,"5,000",贈答品・謝礼・お中元・お歳暮  
2016/09/15,消耗品費,"3,000",現金,"3,000",来客用お茶、お菓子  
2016/09/15,接待交際費,"1,500",現金,"1,500",贈答品・謝礼・お中元・お歳暮  
2016/09/15,接待交際費,"704",クレジットカード,"704",打ち合わせ  
2016/09/16,雑費,"7,398",クレジットカード,"7,398",
2016/09/17,金継仕事材料代・教室運営消耗品費,"17,718",普通預金(振込など),"17,718",金・銀・スズ粉、箔  
2016/09/17,旅費交通費,"1,560",クレジットカード,"1,560",タクシー代  
2016/09/18,地代家賃,"50,000",普通預金(振込など),"50,000",事務所家賃  
2016/09/18,接待交際費,"10,113",クレジットカード,"10,113",会食  
2016/09/18,雑費,"2,495",クレジットカード,"2,495",
2016/09/19,旅費交通費,"1,410",クレジットカード,"1,410",タクシー代  
2016/09/19,雑費,"1,634",クレジットカード,"1,634",イベント消耗品費
2016/09/19,現金,"13,600",好日居教室,"13,600",
2016/09/19,雑費,"4,000",現金,"4,000",
2016/09/20,雑費,"5,000",現金,"5,000",
2016/09/20,現金,"6,800",好日居教室,"6,800",
2016/09/20,旅費交通費,"1,490",クレジットカード,"1,490",タクシー代  
2016/09/20,旅費交通費,"1,400",クレジットカード,"1,400",タクシー代  
2016/09/21,水道光熱費,"1,991",クレジットカード,"1,991",電気料金  
2016/09/21,雑費,"5,000",現金,"5,000",
2016/09/21,現金,"20,400",好日居教室,"20,400",
2016/09/21,旅費交通費,"1,000",現金,"1,000",タクシー代  
2016/09/22,消耗品費,"732",現金,"732",来客用お茶、お菓子  
2016/09/22,雑費,"5,140",現金,"5,140",
2016/09/22,旅費交通費,"1,320",クレジットカード,"1,320",タクシー代  
2016/09/22,旅費交通費,"9,300",クレジットカード,"9,300",バス代  
2016/09/22,現金,"2,000",ギター教室は別の帳簿に記録する！,"2,000",
2016/09/23,雑費,"1,340",現金,"1,340",
2016/09/24,雑費,"10,500",現金,"10,500",イベント消耗品費
2016/09/24,現金,"4,600",ギター教室は別の帳簿に記録する！,"4,600",
2016/09/24,通信費,"5,714",クレジットカード,"5,714",NTT西日本  
2016/09/25,雑費,"3,435",現金,"3,435",弁当代  
2016/09/26,旅費交通費,"13,910",suica,"13,910",新幹線代  
2016/09/26,旅費交通費,"1,089",suica,"1,089",バス代  
2016/09/26,消耗品費,"221",現金,"221",事務用品  
2016/09/27,接待交際費,"2,250",現金,"2,250",打ち合わせ  
2016/09/28,地代家賃,"55,400",普通預金(振込など),"55,400",事務所家賃  
2016/09/28,支払手数料,"216",普通預金(振込など),"216",振込手数料  
2016/09/29,現金,"15,000",自宅金継仕事,"15,000",
2016/09/30,水道光熱費,"1,035",クレジットカード,"1,035",水道料金  
2016/09/30,接待交際費,"648",クレジットカード,"648",贈答品・謝礼・お中元・お歳暮  
2016/09/30,通信費,"7,276",クレジットカード,"7,276",iPhone  
2016/09/30,荷造運賃,"1,512",現金,"1,512",発送料  
2016/10/01,旅費交通費,"3,090",クレジットカード,"3,090",バス代  
2016/10/01,接待交際費,"2,592",現金,"2,592",打ち合わせ  
2016/10/01,旅費交通費,"2,000",現金,"2,000",電車代  
2016/10/01,現金,"10,000",その他個人宅訪問金継,"10,000",西田信子アトリエ  
2016/10/01,現金,"26,000",その他個人宅訪問金継,"26,000",徳竹さんち  
2016/10/01,旅費交通費,"10,000",現金,"10,000",宿泊代  
2016/10/02,現金,"60,500",壺中教室,"60,500",
2016/10/03,現金,"20,000",その他個人宅訪問金継,"20,000",高堂さんち  
2016/10/03,現金,"5,500",壺中教室,"5,500",
2016/10/04,旅費交通費,"13,910",クレジットカード,"13,910",新幹線代  
2016/10/04,接待交際費,"1,870",現金,"1,870",打ち合わせ  
2016/10/04,接待交際費,"5,184",現金,"5,184",贈答品・謝礼・お中元・お歳暮  
2016/10/04,現金,"8,000",その他個人宅訪問金継,"8,000",大井さんち  
2016/10/04,消耗品費,"216",現金,"216",事務用品  
2016/10/04,荷造運賃,"1,512",現金,"1,512",
2016/10/04,接待交際費,"3,618",クレジットカード,"3,618",贈答品・謝礼・お中元・お歳暮  
2016/10/06,水道光熱費,"484",クレジットカード,"484",ガス料金  
2016/10/06,支払手数料,"165",普通預金(振込など),"165",振込手数料  
2016/10/06,接待交際費,"6,156",普通預金(振込など),"6,156",贈答品・謝礼・お中元・お歳暮  
2016/10/07,消耗品費,"2,920",クレジットカード,"2,920",事務用品  
2016/10/07,消耗品費,"531",クレジットカード,"531",事務用品  
2016/10/09,現金,"4,500",自宅金継仕事,"4,500",
2016/10/09,現金,"6,000",自宅金継仕事,"6,000",
2016/10/09,現金,"4,000",自宅金継仕事,"4,000",
2016/10/09,接待交際費,"1,400",現金,"1,400",打ち合わせ  
2016/10/09,旅費交通費,"792",現金,"792",バス代  
2016/10/11,接待交際費,"4,104",普通預金(振込など),"4,104",贈答品・謝礼・お中元・お歳暮  
2016/10/11,支払手数料,"108",普通預金(引き落とし),"108",通知書発行料  
2016/10/11,旅費交通費,"2,260",普通預金(引き落とし),"2,260",電車代  
2016/10/11,接待交際費,"5,076",普通預金(振込など),"5,076",贈答品・謝礼・お中元・お歳暮  
2016/10/11,現金,"5,000",自宅金継仕事,"5,000",
2016/10/11,接待交際費,"2,281",クレジットカード,"2,281",贈答品・謝礼・お中元・お歳暮  
2016/10/13,接待交際費,"700",現金,"700",打ち合わせ  
2016/10/13,接待交際費,"3,900",現金,"3,900",土産代  
2016/10/13,接待交際費,"7,506",普通預金(振込など),"7,506",贈答品・謝礼・お中元・お歳暮  
2016/10/14,消耗品費,"874",現金,"874",事務用品  
2016/10/16,金継仕事材料代・教室運営消耗品費,"4,752",クレジットカード,"4,752",その他教室運営のための道具や材料  
2016/10/17,旅費交通費,"1,010",クレジットカード,"1,010",タクシー代  
2016/10/17,現金,"17,000",好日居教室,"17,000",
2016/10/18,現金,"22,100",好日居教室,"22,100",
2016/10/19,旅費交通費,"1,400",クレジットカード,"1,400",タクシー代  
2016/10/19,現金,"22,100",好日居教室,"22,100",
2016/10/20,旅費交通費,"12,800",クレジットカード,"12,800",バス代  
2016/10/21,水道光熱費,"1,775",クレジットカード,"1,775",電気料金  
2016/10/22,旅費交通費,"8,900",クレジットカード,"8,900",バス代  
2016/10/22,雑費,"260",現金,"260",場所代  
2016/10/23,接待交際費,"3,000",現金,"3,000",会食  
2016/10/23,消耗品費,"2,400",現金,"2,400",来客用お茶、お菓子  
2016/10/23,雑費,"496",現金,"496",場所代  
2016/10/23,現金,"24,300",エフスタイル教室,"24,300",
2016/10/23,荷造運賃,"1,100",現金,"1,100",発送料  
2016/10/23,金継仕事材料代・教室運営消耗品費,"8,100",現金,"8,100",その他教室運営のための道具や材料  
2016/10/24,接待交際費,"5,000",現金,"5,000",会食  
2016/10/24,通信費,"5,744",クレジットカード,"5,744",NTT西日本  
2016/10/24,旅費交通費,"860",現金,"860",入浴代  
2016/10/24,現金,"24,300",エフスタイル教室,"24,300",
2016/10/25,旅費交通費,"8,950",クレジットカード,"8,950",新幹線代  
2016/10/25,旅費交通費,"1,140",現金,"1,140",タクシー代  
2016/10/25,旅費交通費,"840",現金,"840",電車代  
2016/10/26,接待交際費,"1,040",現金,"1,040",贈答品・謝礼・お中元・お歳暮  
2016/10/26,地代家賃,"50,000",普通預金(振込など),"50,000",事務所家賃  
2016/10/28,金継仕事材料代・教室運営消耗品費,"1,700",現金,"1,700",ギター教室運営関係  
2016/10/29,現金,"20,000",その他個人宅訪問金継,"20,000",高堂さんち  
2016/10/29,現金,"20,500",その他個人宅訪問金継,"20,500",徳竹さんち  
2016/10/29,雑費,"680",クレジットカード,"680",場所代  
2016/10/29,旅費交通費,"10,000",現金,"10,000",宿泊代  
2016/10/30,現金,"71,500",壺中教室,"71,500",
2016/10/31,接待交際費,"2,900",現金,"2,900",打ち合わせ  
2016/10/31,雑費,"3,459",クレジットカード,"3,459",
2016/10/31,旅費交通費,"1,310",現金,"1,310",タクシー代  
2016/10/31,通信費,"7,834",クレジットカード,"7,834",iPhone  
2016/10/31,新聞図書費 ,"1,728",クレジットカード,"1,728",
2016/10/31,現金,"10,000",その他個人宅訪問金継,"10,000",西田信子アトリエ  
2016/10/31,旅費交通費,"13,910",クレジットカード,"13,910",新幹線代  
2016/11/01,荷造運賃,"1,512",現金,"1,512",発送料  
2016/11/02,漆教室代(研究費),"15,000",現金,"15,000",
2016/11/03,接待交際費,"1,728",クレジットカード,"1,728",土産代  
2016/11/04,接待交際費,"1,296",現金,"1,296",土産代  
2016/11/04,接待交際費,"356",現金,"356",土産代  
2016/11/05,接待交際費,"5,400",普通預金(振込など),"5,400",贈答品・謝礼・お中元・お歳暮  
2016/11/07,旅費交通費,"2,112",現金,"2,112",バス代  
2016/11/07,水道光熱費,"720",クレジットカード,"720",ガス料金  
2016/11/08,接待交際費,"151",現金,"151",土産代  
2016/11/08,雑費,"440",現金,"440",場所代  
2016/11/08,接待交際費,"1,880",クレジットカード,"1,880",土産代  
2016/11/09,接待交際費,"4,644",クレジットカード,"4,644",土産代  
2016/11/09,接待交際費,"680",現金,"680",贈答品・謝礼・お中元・お歳暮  
2016/11/10,支払手数料,"108",普通預金(引き落とし),"108",通知書発行料  
2016/11/10,旅費交通費,"730",普通預金(引き落とし),"730",電車代  
2016/11/10,接待交際費,"4,104",現金,"4,104",贈答品・謝礼・お中元・お歳暮  
2016/11/12,美術館・お寺観覧代・器など(取材・研究費),"3,500",現金,"3,500",食器など(研究費)  
2016/11/12,現金,"7,500",自宅金継仕事,"7,500",
2016/11/12,消耗品費,"1,800",現金,"1,800",来客用お茶、お菓子  
2016/11/14,接待交際費,"5,270",クレジットカード,"5,270",土産代  
2016/11/14,金継仕事材料代・教室運営消耗品費,"2,592",クレジットカード,"2,592",その他教室運営のための道具や材料  
2016/11/15,水道光熱費,"2,250",現金,"2,250",
2016/11/15,接待交際費,"3,035",クレジットカード,"3,035",贈答品・謝礼・お中元・お歳暮  
2016/11/16,消耗品費,"5,475",クレジットカード,"5,475",PC関係  
2016/11/17,金継仕事材料代・教室運営消耗品費,"3,516",クレジットカード,"3,516",ギター教室運営関係  
2016/11/17,現金,"7,500",自宅金継仕事,"7,500",
2016/11/17,旅費交通費,"9,300",クレジットカード,"9,300",バス代  
2016/11/17,消耗品費,"3,618",現金,"3,618",事務用品  
2016/11/17,接待交際費,"2,214",現金,"2,214",会食  
2016/11/17,消耗品費,"1,414",現金,"1,414",
2016/11/18,接待交際費,"16,500",現金,"16,500",会食  
2016/11/18,旅費交通費,"990",現金,"990",タクシー代  
2016/11/18,接待交際費,"1,660",現金,"1,660",打ち合わせ  
2016/11/18,荷造運賃,"1,412",現金,"1,412",発送料  
2016/11/19,旅費交通費,"8,100",クレジットカード,"8,100",バス代  
2016/11/19,旅費交通費,"1,570",現金,"1,570",タクシー代  
2016/11/19,旅費交通費,"13,910",クレジットカード,"13,910",新幹線代  
2016/11/20,現金,"28,000",エフスタイル教室,"28,000",
2016/11/20,接待交際費,"4,000",現金,"4,000",会食  
2016/11/21,接待交際費,"3,000",現金,"3,000",会食  
2016/11/21,現金,"13,500",エフスタイル教室,"13,500",
2016/11/21,美術館・お寺観覧代・器など(取材・研究費),"6,000",現金,"6,000",食器など(研究費)  
2016/11/21,旅費交通費,"900",現金,"900",入浴代  
2016/11/21,水道光熱費,"3,378",クレジットカード,"3,378",電気料金  
